REPORT_MONTH,COST_OVERRUN_PCT,SCHEDULE_CHANGE_DAYS,DELAY_INDICATOR
JUNE,47.92887281494876,729.0,1
JUNE,-26.49748832372304,370.0,1
JUNE,0.0,,0
JUNE,67.70091301294272,731.0,1
JUNE,-9.3307172443863,356.0,1
JUNE,0.0,0.0,0
JUNE,0.0,735.0,1
JUNE,3.463806037569179,734.0,1
JUNE,54.59136523654754,367.0,1
JUNE,0.0,0.0,0
JUNE,17.911179602129437,2194.0,1
JUNE,16.916713624961023,1822.0,1
JUNE,7.332058383891664,735.0,1
JUNE,0.0,366.0,1
JUNE,0.0,4.0,1
JUNE,-4.7120212105827255,1827.0,1
JUNE,37.5,1092.0,1
JUNE,14.265173366594777,0.0,0
JUNE,0.0,371.0,1
JUNE,0.0,0.0,0
JUNE,9.603960396039604,362.0,1
JUNE,0.0,,0
JUNE,0.0,0.0,0
JUNE,18.848610226433596,731.0,1
JUNE,-11.114434024736711,0.0,0
JUNE,0.0,,0
JUNE,0.0,365.0,1
JUNE,0.0,,0
JUNE,0.0,1819.0,1
JUNE,-11.167329011972123,732.0,1
JUNE,2.6248813734794227,734.0,1
JUNE,18.928226585130357,1090.0,1
JUNE,12.07847441349981,364.0,1
JUNE,0.0060261131570082,367.0,1
JUNE,-46.7294161028277,725.0,1
JUNE,36.01700412130404,736.0,1
JUNE,4.895141113289027,2556.0,1
JUNE,0.0,,0
JUNE,0.0,0.0,0
JUNE,60.51870762676042,2552.0,1
JUNE,6.205669272744134,735.0,1
JUNE,-2.110575820142238,2548.0,1
JUNE,207.6469914415225,1456.0,1
JUNE,18.85057471264368,0.0,0
JUNE,0.2266081871345084,1099.0,1
JUNE,0.0,4.0,1
JUNE,-5.461574121363075,364.0,1
JUNE,0.0,363.0,1
JUNE,95.27035810089536,0.0,0
JUNE,-10.41909744439008,364.0,1
JUNE,33.19391763749663,2194.0,1
JUNE,-1.477150330820132,357.0,1
JUNE,0.0,0.0,0
JUNE,34.20358649789029,0.0,0
JUNE,7.531108558140817,361.0,1
JUNE,0.0,1461.0,1
JUNE,95.40639641474844,362.0,1
JUNE,0.0,1461.0,1
JUNE,0.0,1462.0,1
JUNE,125.43322475570034,1087.0,1
JUNE,0.0,3.0,1
JUNE,142.6664840218391,1105.0,1
JUNE,11.474915667838951,365.0,1
JUNE,0.0,3.0,1
JUNE,22.637260472083064,9.0,1
JUNE,32.87451361867705,0.0,0
JUNE,-12.198975663642756,362.0,1
JUNE,-7.435231794288802,366.0,1
JUNE,-34.09772446639619,1094.0,1
JUNE,0.0,9.0,1
JUNE,59.929588607594944,1463.0,1
JUNE,-0.0566027564643835,0.0,0
JUNE,18.207877461706797,365.0,1
JUNE,27.07694553949482,359.0,1
JUNE,-18.25348175755198,722.0,1
JUNE,117.62814390321554,731.0,1
JUNE,0.0,6.0,1
JUNE,50.13033888109085,729.0,1
JUNE,0.0,0.0,0
JUNE,39.83918828371781,733.0,1
JUNE,-45.70378275821179,1464.0,1
JUNE,0.9675858732462508,2560.0,1
JUNE,-2.874401621300532,6.0,1
JUNE,56.63551401869159,1094.0,1
JUNE,0.0,1095.0,1
JUNE,67.24529602531766,1822.0,1
JUNE,10.026411566632484,722.0,1
JUNE,49.48584486479624,4390.0,1
JUNE,0.0,3.0,1
JUNE,18.32280701754386,2922.0,1
JUNE,0.0,0.0,0
JUNE,139.74137931034485,9.0,1
JUNE,-7.615200478755237,0.0,0
JUNE,0.5232588561561404,732.0,1
JUNE,49.86961770623744,1470.0,1
JUNE,20.8955223880597,1470.0,1
JUNE,30.14376502748595,737.0,1
JUNE,30.58495007236948,2185.0,1
JUNE,671.103120135067,0.0,0
JUNE,12.809742370843932,2192.0,1
JUNE,0.0,0.0,0
JUNE,0.0,1462.0,1
JUNE,292.44437735849056,371.0,1
JUNE,0.0,367.0,1
JUNE,0.0,365.0,1
JUNE,0.9912996471645276,1096.0,1
JUNE,95.6551255940258,736.0,1
JUNE,-3.608562995555246,7.0,1
JUNE,5.398923413100248,736.0,1
JUNE,52.92865928659286,365.0,1
JUNE,-46.44005777563794,0.0,0
JUNE,0.0,,0
JUNE,0.0,0.0,0
JUNE,52.80248551281157,1090.0,1
JUNE,1.1888866720893,733.0,1
JUNE,0.0,1470.0,1
JUNE,24.77960268099752,730.0,1
JUNE,0.0,5839.0,1
JUNE,5.240480422254535,0.0,0
JUNE,0.2162349176144963,2191.0,1
JUNE,2.0307107487620777,1456.0,1
JUNE,41.29402380091087,732.0,1
JUNE,187.3563218390805,374.0,1
JUNE,0.0,,0
JUNE,55.71563875424814,1096.0,1
JUNE,0.0,730.0,1
JUNE,15.60005430355688,0.0,0
JUNE,0.0,364.0,1
JUNE,-3.830385991731223,728.0,1
JUNE,0.0084415584415655,0.0,0
JUNE,0.0,0.0,0
JUNE,-11.144558814009194,366.0,1
JUNE,-81.43339232067163,1464.0,1
JUNE,-61.67523469640016,1104.0,1
JUNE,-32.50439424516633,738.0,1
JUNE,34.63000223563604,730.0,1
JUNE,-60.68900949796473,1451.0,1
JUNE,599.52007602756,2192.0,1
JUNE,0.0,365.0,1
JUNE,77.44949954630535,3281.0,1
JUNE,-5.818658374941449,368.0,1
JUNE,7.230694747034618,1463.0,1
JUNE,0.0,,0
JUNE,66.05539240219454,2548.0,1
JUNE,12.323060573857603,2.0,1
JUNE,-23.353843524334486,724.0,1
JUNE,0.0,,0
JUNE,108.53718707800977,2548.0,1
JUNE,2.055586363764523,4745.0,1
JUNE,20.98747422880927,2189.0,1
JUNE,0.087951702571224,368.0,1
JUNE,151.57979604860589,2548.0,1
JUNE,68.25424578335723,1093.0,1
JUNE,-77.96716819727756,1101.0,1
JUNE,478.4662265109192,2551.0,1
JUNE,0.9003676800287143,1097.0,1
JUNE,79.61859399978785,2192.0,1
JUNE,79.00570613409414,2548.0,1
JUNE,132.5864386566003,2551.0,1
JUNE,-6.4188235992931535,356.0,1
JUNE,316.4546937313208,2192.0,1
JUNE,47.25649964728614,9.0,1
JUNE,129.82545126117515,2548.0,1
JUNE,70.8338537113359,1826.0,1
JUNE,18.80689996106413,1461.0,1
JUNE,49.83695685675013,1826.0,1
JUNE,25.72027817639916,2557.0,1
JUNE,18.29858215179317,7.0,1
JUNE,447.2237327406846,1460.0,1
JUNE,-40.7755973985838,364.0,1
JUNE,0.0,,0
JUNE,-5.737002670798905,731.0,1
JUNE,269.7389577225007,2551.0,1
JUNE,-1.3059557151035854,1087.0,1
JUNE,0.0,363.0,1
JUNE,-31.174032178739548,731.0,1
JUNE,11.278195488721815,1098.0,1
JUNE,97.93792645371656,1823.0,1
JUNE,61.2714829543343,2548.0,1
JUNE,0.0,0.0,0
JUNE,0.0,1093.0,1
JUNE,0.0,0.0,0
JUNE,-36.7654267415604,4.0,1
JUNE,-5.867131389945078,734.0,1
JUNE,0.0,,0
JUNE,-27.57542339503742,731.0,1
JUNE,2.086855380786873,364.0,1
JUNE,12.923700202565833,1100.0,1
JUNE,38.28867304130919,728.0,1
JUNE,4.61489589049008,734.0,1
JUNE,22.782271885925816,1096.0,1
JUNE,18.53357645765535,369.0,1
JUNE,102.71012006861064,5111.0,1
JUNE,22.18600274606574,1454.0,1
JUNE,26.74595842956121,0.0,0
JUNE,0.0,0.0,0
JUNE,0.0,,0
JUNE,0.0,,0
JUNE,-24.44003163758141,0.0,0
JUNE,-7.035231178153614,372.0,1
JUNE,0.0,2186.0,1
JUNE,0.0,2192.0,1
JUNE,0.0,1452.0,1
JUNE,0.0,1829.0,1
JUNE,0.000224453959621,1100.0,1
JUNE,-25.792518520457573,0.0,0
JUNE,-28.259841639657147,0.0,0
JUNE,0.0001805627780706,1094.0,1
JUNE,21.3042628079781,734.0,1
JUNE,0.0,1097.0,1
JUNE,0.0,735.0,1
JUNE,47.04957407981765,1090.0,1
JUNE,-0.0001663849215365,1096.0,1
JUNE,0.0002004116455169,374.0,1
JUNE,0.0,1103.0,1
JUNE,9.154417115412594,1459.0,1
JUNE,0.0,0.0,0
JUNE,16.246685304452086,1832.0,1
JUNE,5.705064062535261,1460.0,1
JUNE,0.0,1456.0,1
JUNE,61.11687413554634,736.0,1
JUNE,17.15818959560174,2555.0,1
JUNE,-0.0002126780203692,,0
JUNE,114.7495246755394,1835.0,1
JUNE,0.0,,0
JUNE,0.0,0.0,0
JUNE,17.894715607064683,2192.0,1
JUNE,0.0,735.0,1
JUNE,114.31230610134438,1096.0,1
JUNE,-0.5029069767441914,1105.0,1
JUNE,55.49346044567592,368.0,1
JUNE,0.0,0.0,0
JUNE,264.20236042965126,365.0,1
JUNE,16.196583182318054,369.0,1
JUNE,0.0,371.0,1
JUNE,35.32237066622852,735.0,1
JUNE,0.0,368.0,1
JUNE,0.0,1094.0,1
JUNE,7.193072492810998,733.0,1
JUNE,18.008981305217933,0.0,0
JUNE,0.0,1094.0,1
JUNE,-1.8468190240889388,366.0,1
JUNE,0.0,359.0,1
JUNE,0.0,8.0,1
JUNE,0.0,1457.0,1
JUNE,0.0,0.0,0
JUNE,-3.756437228609273,1094.0,1
JUNE,0.0,731.0,1
JUNE,72.33311406990723,1832.0,1
JUNE,-24.72716059314081,372.0,1
JUNE,0.0,731.0,1
JUNE,1.4238530810303591,6.0,1
JUNE,15.054915617465843,365.0,1
JUNE,0.0,,0
JUNE,164.34706703910612,1098.0,1
JUNE,-1.1041555786467916,356.0,1
JUNE,27.020422291450323,1105.0,1
JUNE,-1.254612546125467,0.0,0
JUNE,0.0,,0
JUNE,-0.9747054954254591,727.0,1
JUNE,-0.93344425956739,-366.0,0
JUNE,32.14397184314508,1828.0,1
JUNE,0.0,723.0,1
JUNE,0.0,9.0,1
JUNE,19.45374362268533,729.0,1
JUNE,24.042986790212133,1823.0,1
JUNE,16.8,0.0,0
JUNE,-0.7793428778782119,365.0,1
JUNE,79.01840490797547,0.0,0
JUNE,0.0,731.0,1
JUNE,-8.114139441773451,722.0,1
JUNE,0.0,,0
JUNE,0.0,0.0,0
JUNE,-0.8425778801440215,10.0,1
JUNE,-10.959499119546082,371.0,1
JUNE,66.66666666666666,3.0,1
JUNE,0.0,0.0,0
JUNE,0.0,,0
JUNE,8.128686628655,5.0,1
JUNE,0.0,358.0,1
JUNE,26.57837406440759,368.0,1
JUNE,0.0,0.0,0
JUNE,17.232191564500845,367.0,1
JUNE,0.0,0.0,0
JUNE,22.882466898751694,727.0,1
JUNE,0.0,1452.0,1
JUNE,0.0,,0
JUNE,18.87924470839044,1096.0,1
JUNE,25.69501329009176,4.0,1
JUNE,0.0,736.0,1
JUNE,47.19626168224299,368.0,1
JUNE,0.0,-730.0,0
JUNE,20.92643668971767,375.0,1
JUNE,0.0,365.0,1
JUNE,0.0,,0
JUNE,-28.369929728181187,366.0,1
JUNE,39.566899227523976,735.0,1
JUNE,0.0,-4.0,0
JUNE,0.0,,0
JUNE,0.0,372.0,1
JUNE,0.0,0.0,0
JUNE,39.72179289026276,11.0,1
JUNE,83.22166114134109,1458.0,1
JUNE,-3.0066233180402886,734.0,1
JUNE,16.93601366443306,720.0,1
JUNE,0.0,0.0,0
JUNE,0.2160322479422582,1829.0,1
JUNE,25.278170040547145,733.0,1
JUNE,0.0166100415251058,356.0,1
JUNE,0.0,-1.0,0
JUNE,-16.704299653505288,735.0,1
JUNE,27.15664195420248,1098.0,1
JUNE,2.8350923482849613,732.0,1
JUNE,35.35513636570137,733.0,1
JUNE,0.0,365.0,1
JUNE,-20.63328760859625,1096.0,1
JUNE,0.0,367.0,1
JUNE,0.0181890075128523,725.0,1
JUNE,0.0,0.0,0
JUNE,18.736346355718204,368.0,1
JUNE,0.0,370.0,1
JUNE,0.1514896482073782,729.0,1
JUNE,-13.98404787142073,361.0,1
JUNE,6.704536520166683,6.0,1
JUNE,0.0,364.0,1
JUNE,9.445934297481076,1826.0,1
JUNE,49.507468108292905,729.0,1
JUNE,0.0,,0
JUNE,-2.095043886869413,363.0,1
JUNE,0.0,0.0,0
JUNE,-30.40108585001697,730.0,1
JUNE,16.989614958175387,,0
JUNE,-1.7762226555196492,0.0,0
JUNE,-1.48615687669848,728.0,1
JUNE,76.03829030508645,0.0,0
JUNE,-10.440041485392562,0.0,0
JUNE,69.72149179660012,363.0,1
JUNE,-9.437991719469323,728.0,1
JUNE,46.85929285342884,355.0,1
JUNE,56.97434739365868,356.0,1
JUNE,26.10820908043535,2192.0,1
JUNE,90.40520416960575,363.0,1
JUNE,0.0,0.0,0
JUNE,0.7814086361058301,729.0,1
JUNE,80.64840217937322,365.0,1
JUNE,-1.866593466922874,370.0,1
JUNE,-9.413975501113583,358.0,1
JUNE,2.317227979803339,9.0,1
JUNE,25.3136081137759,367.0,1
JUNE,0.0,721.0,1
JUNE,0.0,2931.0,1
JUNE,8.842654509279454,722.0,1
JUNE,0.0,0.0,0
JUNE,34.27908797927773,2563.0,1
JUNE,0.0,1463.0,1
JUNE,-0.0597914474313594,1093.0,1
JUNE,0.0,0.0,0
JUNE,-9.599201755514247,739.0,1
JUNE,-26.852073669156667,365.0,1
JUNE,0.0,9.0,1
JUNE,7.629162550124949,731.0,1
JUNE,-10.859984890455804,1094.0,1
JUNE,0.0,2922.0,1
JUNE,21.04247482465421,735.0,1
JUNE,-14.420125008282344,1094.0,1
JUNE,135.74947220267418,9.0,1
JUNE,14.415936705283974,739.0,1
JUNE,0.0,0.0,0
JUNE,-30.16945157166559,-3.0,0
JUNE,0.0,,0
JUNE,0.0,6.0,1
JUNE,0.0,9131.0,1
JUNE,-29.05262300423591,727.0,1
JUNE,6.695232994108196,0.0,0
JUNE,0.0,0.0,0
JUNE,0.0,4741.0,1
JUNE,19.666182873730044,-2.0,0
JUNE,0.0,1091.0,1
JUNE,21.16700294533734,372.0,1
JUNE,0.0,740.0,1
JUNE,0.0,1470.0,1
JUNE,8.90072403230297,720.0,1
JUNE,0.0,,0
JUNE,65.37396121883657,365.0,1
JUNE,0.0,,0
JUNE,0.0,1461.0,1
JUNE,3.541999442204819,7.0,1
JUNE,0.0,0.0,0
JUNE,0.0,,0
JUNE,4.983306795418356,3.0,1
JUNE,79.80132450331125,356.0,1
JUNE,72.19662058371735,10.0,1
JUNE,18.34296724470135,10.0,1
JUNE,-0.65143632662294,0.0,0
JUNE,39.20560747663552,724.0,1
JUNE,-0.8939682307298339,364.0,1
JUNE,0.0,0.0,0
JUNE,0.0,6.0,1
JUNE,0.0,725.0,1
JUNE,-0.1557850516366158,364.0,1
JUNE,0.0,0.0,0
JUNE,0.0013205678441717,365.0,1
JUNE,42.72166666666667,719.0,1
JUNE,0.0,,0
JUNE,2.220133629752812,738.0,1
JUNE,0.0,1.0,1
JUNE,22.192118226600986,0.0,0
JUNE,0.0,,0
JUNE,0.0,2191.0,1
JUNE,-0.0052416788348449,729.0,1
JUNE,-3.857612726295354,369.0,1
JUNE,0.0,356.0,1
JUNE,0.0,,0
JUNE,-18.998,3644.0,1
JUNE,-0.1960870714726329,366.0,1
JUNE,0.0,,0
JUNE,78.3461210571185,0.0,0
JUNE,3.8679184618352616,1823.0,1
JUNE,0.0,0.0,0
JUNE,0.0,7.0,1
JUNE,0.0,,0
JUNE,82.73026315789474,0.0,0
JUNE,0.0,731.0,1
JUNE,0.0,2.0,1
JUNE,8.618899273104882,368.0,1
JUNE,0.0,,0
JUNE,-6.501704466023586,361.0,1
JUNE,10.039370078740156,367.0,1
JUNE,0.0,,0
JUNE,3.251599726226813,361.0,1
JUNE,1231.5280184864243,0.0,0
JUNE,1.4416070977084203,732.0,1
JUNE,2.1001216985166096,735.0,1
JUNE,0.0,2564.0,1
JUNE,-12.41627851630231,2193.0,1
JUNE,0.0,2564.0,1
JUNE,0.0,374.0,1
JUNE,-13.473053892215578,735.0,1
JUNE,22.79129912714173,1096.0,1
JUNE,0.0,726.0,1
JUNE,0.0,0.0,0
JUNE,55.73385518590997,2926.0,1
JUNE,8.701087635954504,1466.0,1
JUNE,0.0,0.0,0
JUNE,0.0,736.0,1
JUNE,0.0,10.0,1
JUNE,-31.048316762602468,362.0,1
JUNE,19.25375031782356,2184.0,1
JUNE,0.0,369.0,1
JUNE,-17.010448741899324,0.0,0
JUNE,0.0,0.0,0
JUNE,0.0,728.0,1
JUNE,7.386510307187363,2921.0,1
JUNE,51.76633424424176,2556.0,1
JUNE,8.82956019584048,0.0,0
JUNE,18.836565096952903,6.0,1
JUNE,0.0,0.0,0
JUNE,0.0,732.0,1
JUNE,23.125888545922624,2554.0,1
JUNE,0.0,1462.0,1
JUNE,0.0,5.0,1
JUNE,0.0,2.0,1
JUNE,0.0,0.0,0
JUNE,0.0,-359.0,0
JUNE,0.0,2195.0,1
JUNE,-5.242914341561838,731.0,1
JUNE,0.0,728.0,1
JUNE,11.162518412206826,1455.0,1
JUNE,0.0,0.0,0
JUNE,0.0,375.0,1
JUNE,26.59193343349128,369.0,1
JUNE,-4.950456195428227,368.0,1
JUNE,0.0,372.0,1
JUNE,0.0,367.0,1
JUNE,0.0,731.0,1
JUNE,31.024888516217548,731.0,1
JUNE,0.0,366.0,1
JUNE,0.0,0.0,0
JUNE,0.0,0.0,0
JUNE,0.0,367.0,1
JUNE,0.0,0.0,0
JUNE,7.254995242626079,2555.0,1
JUNE,-10.97234843567441,738.0,1
JUNE,0.0,727.0,1
JUNE,0.0,365.0,1
JUNE,0.0,728.0,1
JUNE,-8.008990046733963,7.0,1
JUNE,-30.422619047619044,,0
JUNE,0.0,360.0,1
JUNE,-17.307867834976275,7.0,1
JUNE,0.0,368.0,1
JUNE,0.0,6.0,1
JUNE,0.0,0.0,0
JUNE,0.0,0.0,0
JUNE,0.0,370.0,1
JUNE,0.0,2554.0,1
JUNE,-11.01542673016054,732.0,1
JUNE,0.0,738.0,1
JUNE,0.0,361.0,1
JUNE,0.0,726.0,1
JUNE,0.0,0.0,0
JUNE,0.0,374.0,1
JUNE,0.0,372.0,1
JUNE,6.41916605705926,2.0,1
JUNE,0.0,,0
JUNE,0.0,0.0,0
JUNE,-8.999176276771014,740.0,1
JUNE,-18.25746896457642,735.0,1
JUNE,-0.9074364288964236,735.0,1
JUNE,0.0,0.0,0
JUNE,0.0,,0
JUNE,0.0,0.0,0
JUNE,0.0,0.0,0
JUNE,0.0,0.0,0
JUNE,0.0,0.0,0
JUNE,0.0,,0
JUNE,0.0,362.0,1
JUNE,0.0,0.0,0
JUNE,0.0,,0
JUNE,0.0,,0
JUNE,0.0,,0
JUNE,0.0,,0
JUNE,0.0,1095.0,1
JUNE,0.0,362.0,1
JUNE,0.0,1093.0,1
JUNE,0.0,,0
JUNE,0.0,,0
JUNE,24.05684328530449,364.0,1
JUNE,0.0,,0
JUNE,0.0,,0
JUNE,0.0,,0
