PROJECT_ID,REPORT_MONTH,COST_OVERRUN_PCT,SCHEDULE_CHANGE_DAYS,DELAY_INDICATOR
400291.0,MAY,13.152926368785401,2558.0,1
400291.0,JUNE,13.152926368785401,2558.0,1
400291.0,JULY,13.152926368785401,2558.0,1
400298.0,APRIL,156.5743944636678,363.0,1
400298.0,MAY,156.5743944636678,363.0,1
400298.0,JUNE,156.5743944636678,363.0,1
400298.0,JULY,155.45112456747404,363.0,1
400299.0,APRIL,41.981897175959446,367.0,1
400299.0,MAY,41.981897175959446,373.0,1
400299.0,JUNE,41.981897175959446,373.0,1
400299.0,JULY,41.981897175959446,373.0,1
400301.0,APRIL,155.45722713864308,3294.0,1
400301.0,MAY,155.45722713864308,3294.0,1
400301.0,JUNE,155.45722713864308,3294.0,1
400301.0,JULY,155.45722713864308,3294.0,1
400312.0,APRIL,0.0,,0
400312.0,MAY,0.0,,0
400312.0,JUNE,0.0,,0
400312.0,JULY,0.0,,0
400315.0,APRIL,0.0,,0
400315.0,MAY,0.0,,0
400315.0,JUNE,0.0,,0
400315.0,JULY,0.0,,0
400321.0,APRIL,0.0,1095.0,1
400321.0,MAY,0.0,1095.0,1
400321.0,JUNE,0.0,1095.0,1
400321.0,JULY,0.0,1095.0,1
400352.0,APRIL,0.0,,0
400352.0,MAY,0.0,,0
400352.0,JUNE,0.0,,0
400352.0,JULY,0.0,,0
400353.0,APRIL,0.0,,0
400353.0,MAY,0.0,,0
400353.0,JUNE,0.0,,0
400353.0,JULY,0.0,,0
400354.0,APRIL,0.0,,0
400354.0,MAY,0.0,,0
400354.0,JUNE,0.0,,0
400354.0,JULY,0.0,,0
400369.0,APRIL,0.0,1096.0,1
400369.0,MAY,0.0,1096.0,1
400369.0,JUNE,0.0,1096.0,1
400369.0,JULY,0.0,1096.0,1
400382.0,APRIL,0.0,,0
400382.0,MAY,0.0,,0
400382.0,JUNE,0.0,,0
400392.0,APRIL,0.0,,0
400392.0,MAY,0.0,,0
400392.0,JUNE,0.0,,0
400392.0,JULY,0.0,,0
400416.0,APRIL,42.49183169967326,365.0,1
400416.0,MAY,42.49183169967326,730.0,1
400416.0,JUNE,42.49183169967326,730.0,1
400416.0,JULY,42.49183169967326,730.0,1
400424.0,APRIL,0.0,1461.0,1
400424.0,MAY,0.0,1461.0,1
400424.0,JUNE,0.0,1461.0,1
400424.0,JULY,0.0,1461.0,1
400425.0,APRIL,0.0,2562.0,1
400425.0,MAY,0.0,2562.0,1
400425.0,JUNE,0.0,2563.0,1
400425.0,JULY,0.0,2563.0,1
400426.0,APRIL,104.70167424421987,3287.0,1
400426.0,MAY,104.70167424421987,3287.0,1
400426.0,JUNE,104.70167424421987,3287.0,1
400426.0,JULY,104.70167424421987,3287.0,1
425828.0,JULY,0.0,,0
437130.0,JULY,0.0,,0
462136.0,JULY,0.0,,0
476006.0,JULY,0.0,,0
478482.0,JULY,0.0,,0
505491.0,JULY,0.0,,0
547243.0,JULY,0.0,,0
589703.0,JULY,0.0,,0
601812.0,APRIL,0.0,,0
601812.0,MAY,0.0,,0
601812.0,JUNE,0.0,,0
601812.0,JULY,0.0,,0
602096.0,APRIL,314.86286320686423,5840.0,1
602096.0,MAY,314.86286320686423,5840.0,1
602096.0,JUNE,314.86286320686423,5840.0,1
602096.0,JULY,314.86349960940794,6203.0,1
602098.0,APRIL,17.880592097521948,736.0,1
602098.0,MAY,17.880592097521948,736.0,1
602098.0,JUNE,17.880592097521948,736.0,1
602098.0,JULY,17.880592097521948,736.0,1
602099.0,APRIL,15.864563960153877,1091.0,1
602099.0,MAY,15.864563960153877,1092.0,1
602099.0,JUNE,15.864563960153877,1092.0,1
602099.0,JULY,15.864563960153877,1094.0,1
602181.0,APRIL,0.0,1105.0,1
602181.0,MAY,0.0,1105.0,1
602181.0,JUNE,0.0,1105.0,1
602181.0,JULY,0.0,1833.0,1
602182.0,APRIL,3.137118099645935e-05,0.0,0
602182.0,MAY,3.137118099645935e-05,0.0,0
602182.0,JUNE,3.137118099645935e-05,0.0,0
602182.0,JULY,0.0,0.0,0
602184.0,APRIL,107.37277832455278,3647.0,1
602184.0,MAY,107.37277832455278,3647.0,1
602184.0,JUNE,107.37277832455278,3647.0,1
602184.0,JULY,107.37277832455278,3653.0,1
602185.0,APRIL,266.2625923438549,5845.0,1
602185.0,MAY,266.2625923438549,5848.0,1
602185.0,JUNE,266.2625923438549,5845.0,1
602185.0,JULY,266.2625923438549,5848.0,1
602195.0,APRIL,65.91967049619853,1823.0,1
602195.0,MAY,65.91967049619853,2185.0,1
602195.0,JUNE,65.91967049619853,2185.0,1
602195.0,JULY,65.91967049619853,2185.0,1
602223.0,APRIL,92.0175331586187,3278.0,1
602223.0,MAY,92.0175331586187,3278.0,1
602223.0,JUNE,92.0175331586187,3278.0,1
602223.0,JULY,92.0175331586187,3278.0,1
602525.0,APRIL,56.90103203601525,2200.0,1
602525.0,MAY,56.90103203601525,2200.0,1
602525.0,JUNE,56.90103203601525,2200.0,1
602525.0,JULY,56.90103203601525,2200.0,1
602532.0,APRIL,26.15478625521563,1099.0,1
602532.0,MAY,26.15478625521563,1099.0,1
602532.0,JUNE,26.15478625521563,1099.0,1
602532.0,JULY,26.15478625521563,1099.0,1
602535.0,APRIL,0.0,739.0,1
602535.0,MAY,0.0,739.0,1
602535.0,JUNE,0.0,739.0,1
602535.0,JULY,0.0,739.0,1
602538.0,APRIL,6.653809064609451,735.0,1
602538.0,MAY,6.653809064609451,735.0,1
602538.0,JUNE,6.653809064609451,735.0,1
