MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,ORIGINAL_DURATION_DAYS,PROGRESS_CHANGE,EXPENDITURE_CHANGE,COST_OVERRUN_PCT
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,686.03,357.32,50.48,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,686.03,435.15,49.82,731.0,-0.6599999999999966,77.82999999999998,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,686.03,228.79,46.51,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,686.03,236.66,47.05,731.0,0.5399999999999991,7.8700000000000045,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,620.3,332.95,74.85000000000001,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,620.3,304.5,73.13,731.0,-1.720000000000013,-28.44999999999999,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,620.3,215.93,68.85,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MEGHALAYA,NHIDCL,620.3,216.26,70.82000000000001,731.0,1.970000000000013,0.3299999999999841,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,161.73,101.28,99.75,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,161.73,101.21,99.75,731.0,0.0,-0.07000000000000739,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,161.73,14.12,99.5,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,161.73,14.12,99.5,731.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,215.79,173.12,100.0,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,215.79,173.12,100.0,731.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,215.79,28.64,100.0,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,NAGALAND,NHIDCL,215.79,28.71,100.0,731.0,0.0,0.07000000000000028,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,264.84,0.0,85.15,371.0,,,43.837788853647496
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,264.84,127.34,87.03,371.0,1.8799999999999955,127.34,43.837788853647496
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,264.84,0.17,87.03,371.0,0.0,-127.17,43.837788853647496
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,264.84,0.0,86.04,371.0,-0.9899999999999949,-0.17,43.837788853647496
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,311.02,268.2,95.98,1090.0,,,-11.973506526911457
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,311.02,6.12,95.98,1090.0,0.0,-262.08,-11.973506526911457
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,311.02,6.11,95.6,1090.0,,,-11.973506526911457
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,311.02,6.11,95.72,1090.0,0.12000000000000455,0.0,-11.973506526911457
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,264.84,61.11,97.57,730.0,,,43.837788853647496
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,264.84,70.71,100.0,730.0,2.430000000000007,9.599999999999994,43.837788853647496
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,264.84,70.7,100.0,730.0,0.0,-0.009999999999990905,43.837788853647496
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,264.84,61.27,100.0,730.0,0.0,-9.43,43.837788853647496
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,345.38,418.73,97.22,725.0,,,14.537610747582367
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,345.38,418.73,97.2,725.0,-0.01999999999999602,0.0,14.537610747582367
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,345.38,395.8,94.71,725.0,,,14.537610747582367
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,345.38,395.8,95.72,725.0,1.0100000000000051,0.0,14.537610747582367
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,402.94,261.9,99.23,1090.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,402.94,0.39,99.23,1090.0,0.0,-261.51,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,402.94,0.0,98.54,1090.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,402.94,0.0,98.54,1090.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,295.97,255.94,97.73,1090.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,295.97,0.0,97.73,1090.0,0.0,-255.94,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,295.97,0.39,96.91,1090.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHIDCL,295.97,0.39,96.99,1090.0,0.0799999999999983,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,228.72,0.0,99.52,725.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,228.72,0.0,99.52,725.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,184.89,156.42,99.69,725.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,184.89,0.0,99.69,725.0,0.0,-156.42,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,184.89,0.0,99.69,725.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,184.89,0.0,99.69,725.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,1718.59,1123.4,82.45,1461.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,1718.59,189.24,82.32000000000001,1461.0,-0.12999999999999545,-934.1600000000001,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,1718.59,178.83,82.04,1461.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,1718.59,178.84,82.28,1461.0,0.23999999999999488,0.009999999999990905,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,386.51,360.25,97.13,1089.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,386.51,352.16,97.13,1089.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,386.51,352.16,97.13,1089.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,599.0,432.62,100.0,1090.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,599.0,434.89,100.0,1090.0,0.0,2.269999999999982,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,599.0,405.02,100.0,1090.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,599.0,405.1,100.0,1090.0,0.0,0.08000000000004093,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,274.34,116.66,100.0,360.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,274.34,96.67,100.0,360.0,0.0,-19.989999999999995,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,274.34,90.6,100.0,360.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,274.34,93.43,100.0,360.0,0.0,2.8300000000000125,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,385.57,680.44,100.0,371.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,385.57,685.73,100.0,371.0,0.0,5.289999999999964,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,385.57,145.89,100.0,371.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,385.57,145.89,100.0,371.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,478.3,0.0,96.79,6.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,478.3,0.0,96.79,6.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,478.3,0.0,96.79,6.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,187.09,16.71,58.19,366.0,,,-46.43219840718371
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,187.09,0.0,58.19,366.0,0.0,-16.71,-46.43219840718371
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,187.09,0.0,0.0,366.0,,,-46.43219840718371
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,187.09,0.0,0.0,366.0,0.0,0.0,-46.43219840718371
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,467.79,97.88,87.33,365.0,,,1.8619465999700675
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,467.79,0.0,87.33,365.0,0.0,-97.88,1.8619465999700675
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,467.79,72.13,0.0,365.0,,,1.8619465999700675
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,467.79,72.13,0.0,365.0,0.0,0.0,1.8619465999700675
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,358.72,100.4,100.0,6.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,358.72,398.28,100.0,6.0,0.0,297.88,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,358.72,0.07,99.05,6.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,358.72,0.07,99.05,6.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,438.44,0.0,95.86,6.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,438.44,0.0,95.86,6.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,438.44,0.0,95.86,6.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,279.01,398.54,94.73,6.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,279.01,0.0,94.73,6.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,279.01,0.0,94.73,6.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,353.9,0.0,17.91,736.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,353.9,26.82,19.57,736.0,1.6600000000000001,26.82,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,353.9,0.0,19.55,736.0,-0.019999999999999574,-26.82,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ARUNACHAL PRADESH,NHIDCL,353.9,0.0,18.63,736.0,-0.9200000000000017,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,493.42,395.19,79.13,1095.0,,,-2.9650196587086044
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,493.42,0.03,79.13,1095.0,0.0,-395.16,-2.9650196587086044
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,493.42,0.0,77.07000000000001,1095.0,,,-2.9650196587086044
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,493.42,0.0,78.83,1095.0,1.759999999999991,0.0,-2.9650196587086044
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,410.6,241.77,82.64,1095.0,,,-7.6229907452508545
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,410.6,0.0,82.64,1095.0,0.0,-241.77,-7.6229907452508545
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,410.6,0.0,81.83,1095.0,,,-7.6229907452508545
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,410.6,0.0,81.89,1095.0,0.060000000000002274,0.0,-7.6229907452508545
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,816.79,474.96,64.31,1096.0,,,-3.696176495794506
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,816.79,32.28,64.31,1096.0,0.0,-442.67999999999995,-3.696176495794506
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,816.79,32.28,60.88,1096.0,,,-3.696176495794506
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,816.79,32.28,63.24999999999999,1096.0,2.3699999999999903,0.0,-3.696176495794506
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,230.45,249.71,86.19,1090.0,,,6.274679973963987
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,230.45,0.0,86.19,1090.0,0.0,-249.71,6.274679973963987
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,230.45,0.0,80.46,1090.0,,,6.274679973963987
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,230.45,0.0,83.74000000000001,1090.0,3.2800000000000153,0.0,6.274679973963987
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,292.8,253.63,65.14999999999999,726.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,292.8,1.91,65.14999999999999,726.0,0.0,-251.72,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,292.8,1.91,65.10000000000001,726.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,SIKKIM,NHIDCL,292.8,1.91,65.12,726.0,0.01999999999999602,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,781.85,48.26,4.71,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,781.85,48.14,4.71,731.0,0.0,-0.11999999999999744,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,781.85,20.64,4.71,731.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MIZORAM,NHIDCL,781.85,20.78,4.71,731.0,0.0,0.14000000000000057,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,693.97,40.17,93.23,725.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,693.97,41.78,93.23,725.0,0.0,1.6099999999999994,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,693.97,37.6,93.23,725.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,693.97,37.6,93.23,725.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,693.97,308.85,100.0,726.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,693.97,310.1,100.0,726.0,0.0,1.25,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,693.97,296.96,100.0,726.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHIDCL,693.97,296.96,100.0,726.0,0.0,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1119.35,975.7,99.8,730.0,,,6.684236387189009
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1119.35,975.7,99.8,730.0,0.0,0.0,6.684236387189009
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NHAI,1272.97,1150.13,95.25,730.0,,,-0.6135258489987938
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NHAI,1272.97,1150.12,95.25,730.0,0.0,-0.010000000000218279,-0.6135258489987938
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1272.97,1091.66,95.25,730.0,,,-0.6135258489987938
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1272.97,1091.86,95.25,730.0,0.0,0.1999999999998181,-0.6135258489987938
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NHAI,1854.68,1530.92,98.28,1089.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NHAI,1854.68,1495.49,95.52,1089.0,-2.760000000000005,-35.430000000000064,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1854.68,1386.51,93.44,1089.0,,,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1854.68,1424.12,95.08,1089.0,1.6400000000000006,37.6099999999999,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NHAI,1555.2,1288.32,85.5,726.0,,,0.07716049382716342
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NHAI,1555.2,1273.31,81.6,726.0,-3.9000000000000057,-15.009999999999991,0.07716049382716342
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1555.2,1084.2,77.2,726.0,,,0.07716049382716342
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NHAI,1555.2,1135.14,81.6,726.0,4.3999999999999915,50.940000000000055,0.07716049382716342
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NHAI,1263.38,934.98,100.0,730.0,,,0.28494989630989165
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1263.38,865.87,100.0,730.0,,,0.28494989630989165
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1263.38,865.87,100.0,730.0,0.0,0.0,0.28494989630989165
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NHAI,1644.85,1297.76,100.0,730.0,,,0.38240569048850603
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NHAI,1644.85,1297.47,100.0,730.0,0.0,-0.2899999999999636,0.38240569048850603
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1644.85,963.66,100.0,730.0,,,0.38240569048850603
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NHAI,1644.85,990.1,100.0,730.0,0.0,26.440000000000055,0.38240569048850603
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NHAI,1324.84,1546.7,91.34,730.0,,,111.91087225627247
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NHAI,1324.84,1471.27,91.34,730.0,0.0,-75.43000000000006,111.91087225627247
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1324.84,1248.75,91.34,730.0,,,111.91087225627247
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1324.84,1275.92,91.34,730.0,0.0,27.170000000000073,111.91087225627247
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2271.86,2574.42,98.9,730.0,,,89.15250059422674
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2271.86,2574.42,98.9,730.0,0.0,0.0,89.15250059422674
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1710.3,2158.87,97.05,730.0,,,98.34005729988891
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1710.3,2158.87,97.05,730.0,0.0,0.0,98.34005729988891
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NHAI,3834.24,197.98,4.8500000000000005,726.0,,,-0.3661742613920872
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,GUJARAT,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],3834.24,197.13,4.8500000000000005,726.0,,,-0.3661742613920872
