MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,ORIGINAL_DURATION_DAYS,PROGRESS_CHANGE,EXPENDITURE_CHANGE,COST_OVERRUN_PCT
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,GUJARAT,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],885.63,1037.37,94.3,2186.0,-1.2999999999999972,-24.950000000000045,52.163996251256165
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,GUJARAT,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],885.63,990.06,87.5,2186.0,,,52.163996251256165
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,GUJARAT,OIL AND NATURAL GAS CORPORATION LIMITED [ONGC],885.63,1022.45,89.2,2186.0,1.7000000000000028,32.3900000000001,52.163996251256165
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,UTTAR PRADESH,IRRIGATION & WATER RESOURCES-UP,1672.7,22.24,1.76,738.0,,,0.0
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MAHARASHTRA,DEPARTMENT OF WATER RESOURCES-MH - II,743.73,459.06,53.93,738.0,,,0.0
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,MADHYA PRADESH,WATER RESOURCE-MP,648.09,208.06,49.78,738.0,,,0.0
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,GUJARAT,"NARMADA AND WATER RESOURCES, WATER SUPPLY AND KALPSAR DEPARTMENT-GJ",5021.76,4956.98,90.3,738.0,,,32.82813196966801
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,ANDHRA PRADESH,WATER RESOURCES-AP,353.05,879.15,95.88,4759.0,,,189.8286361705141
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,ANDHRA PRADESH,WATER RESOURCES-AP,353.05,879.15,95.88,4759.0,0.0,0.0,189.8286361705141
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,ANDHRA PRADESH,WATER RESOURCES-AP,353.05,872.65,95.88,4759.0,,,189.8286361705141
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,ANDHRA PRADESH,WATER RESOURCES-AP,353.05,872.65,95.88,4759.0,0.0,0.0,189.8286361705141
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,ANDHRA PRADESH,WATER RESOURCES-AP,397.41,624.78,98.3,5121.0,,,75.48375732870333
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,ANDHRA PRADESH,WATER RESOURCES-AP,397.41,624.78,98.3,5121.0,0.0,0.0,75.48375732870333
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,ANDHRA PRADESH,WATER RESOURCES-AP,397.41,619.46,98.3,5121.0,,,75.48375732870333
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,ANDHRA PRADESH,WATER RESOURCES-AP,397.41,624.78,98.3,5121.0,0.0,5.319999999999936,75.48375732870333
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,TELANGANA,IRRIGATION AND CAD-TG,736.13,971.47,97.0,5121.0,,,29.03563229320908
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,TELANGANA,IRRIGATION AND CAD-TG,736.13,971.47,97.0,5121.0,0.0,0.0,29.03563229320908
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,TELANGANA,IRRIGATION AND CAD-TG,736.13,971.47,97.0,5121.0,,,29.03563229320908
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,TELANGANA,IRRIGATION AND CAD-TG,736.13,971.47,97.0,5121.0,0.0,0.0,29.03563229320908
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,TELANGANA,IRRIGATION AND CAD-TG,1331.3,4491.08,92.0,4759.0,,,346.1871854578232
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,TELANGANA,IRRIGATION AND CAD-TG,1331.3,4491.08,92.0,4759.0,0.0,0.0,346.1871854578232
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,TELANGANA,IRRIGATION AND CAD-TG,1331.3,4491.08,92.0,4759.0,,,346.1871854578232
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,TELANGANA,IRRIGATION AND CAD-TG,1331.3,4491.08,92.0,4759.0,0.0,0.0,346.1871854578232
