PROJECT_ID,MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,START_DATE,ORIGINAL_TARGET_DOC,PROGRESS_CHANGE,EXPENDITURE_CHANGE
618822.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,NHAI,929.91,398.91,92.3,2023-01-12,2025-01-12,0.0,33.85000000000002
618822.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,NHAI,929.91,398.91,96.75,2023-01-12,2025-01-12,4.450000000000003,0.0
618823.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],352.01,84.95,35.78,2024-01-08,2026-01-02,,
618823.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],352.01,87.2,39.55,2024-01-08,2026-01-02,3.769999999999996,2.25
618823.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHAI,352.01,87.41,41.67,2024-01-08,2026-01-02,2.1200000000000045,0.20999999999999375
618823.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHAI,352.01,97.88,43.52,2024-01-08,2026-01-02,1.8500000000000014,10.469999999999999
618824.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],201.1,56.95,48.82,2024-01-07,2026-01-01,,
618824.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],201.1,56.99,52.6,2024-01-07,2026-01-01,3.780000000000001,0.03999999999999915
618824.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHAI,201.1,56.97,54.02,2024-01-07,2026-01-01,1.4200000000000017,-0.020000000000003126
618824.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHAI,201.1,64.63,54.790000000000006,2024-01-07,2026-01-01,0.7700000000000031,7.659999999999997
618825.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],622.04,340.02,96.17,2018-01-12,2021-01-12,,
618825.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],622.04,367.17,96.17,2018-01-12,2021-01-12,0.0,27.150000000000034
618825.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHAI,622.04,623.69,96.71,2018-01-12,2021-01-12,0.539999999999992,256.52000000000004
618825.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NHAI,622.04,628.08,96.71,2018-01-12,2021-01-12,0.0,4.389999999999986
618826.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],907.76,448.53,91.4,2023-01-07,2025-01-07,,
618826.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],907.76,450.16,91.97,2023-01-07,2025-01-07,0.5699999999999932,1.6300000000000523
618826.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,907.76,468.12,91.97,2023-01-07,2025-01-07,0.0,17.95999999999998
618826.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,907.76,468.12,92.34,2023-01-07,2025-01-07,0.37000000000000455,0.0
618827.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1097.57,356.89,70.67999999999999,2023-01-08,2025-01-08,,
618827.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1097.57,388.54,82.05,2023-01-08,2025-01-08,11.370000000000005,31.650000000000034
618827.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1097.57,466.89,82.05,2023-01-08,2025-01-08,0.0,78.34999999999997
618827.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1097.57,466.9,84.92,2023-01-08,2025-01-08,2.8700000000000045,0.009999999999990905
618828.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (JHARKHAND, UTTAR PRADESH)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1436.49,830.18,92.02,2023-01-09,2025-01-09,,
618828.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (JHARKHAND, UTTAR PRADESH)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1436.49,830.18,92.02,2023-01-09,2025-01-09,0.0,0.0
618829.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1129.48,527.11,93.45,2021-01-10,2023-01-10,,
618829.0,MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,JHARKHAND,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1129.48,527.11,93.45,2021-01-10,2023-01-10,0.0,0.0
