MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,START_DATE,ORIGINAL_TARGET_DOC,PROGRESS_CHANGE,EXPENDITURE_CHANGE
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NHAI,1309.08,305.43,1.99,2026-01-03,2028-01-03,-1.97,-4.649999999999977
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1500.11,120.46,0.0,2026-01-03,2028-01-03,-2.25,-0.6000000000000085
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,OFFSHORE,MINISTRY OF PETROLEUM & NATURAL GAS,6183.79,2023.95,43.9,2023-01-05,2027-01-04,-3.5,-29.049999999999955
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NHAI,612.94,363.91,79.63,2024-01-03,2026-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,CHHATTISGARH,MORTH,307.96,0.0,0.0,2026-01-06,2028-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,NHAI,1101.76,713.4,99.7,2022-01-04,2024-01-04,0.0,-0.0600000000000591
MINISTRY OF RAILWAYS,RAILWAYS,ASSAM,CENTRAL ORGANISATION FOR RAILWAY ELECTRIFICATION [CORE],890.36,391.73,89.0,2018-01-09,2020-01-09,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NHAI,1394.14,606.2,63.4,2024-01-03,2026-01-03,-0.720000000000006,-16.379999999999995
MINISTRY OF RAILWAYS,RAILWAYS,WEST BENGAL,RVNL - II,2298.0,429.56,17.0,2010-01-03,2026-01-12,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NHAI,581.65,273.54,69.04,2023-01-09,2025-01-09,0.0,-0.1599999999999681
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NHAI,1214.3,917.82,75.63,2019-01-03,2021-01-09,-0.0900000000000034,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NHAI,1112.7,849.97,99.5,2022-01-02,2024-01-02,0.0,-0.0099999999999909
MINISTRY OF RAILWAYS,RAILWAYS,BIHAR,EAST CENTRAL RAILWAY [ECR] - I,588.18,2.38,0.1,2023-01-03,2028-01-03,0.1,-24.14
MINISTRY OF HEALTH & FAMILY WELFARE,HEALTHCARE,GUJARAT,"MEDICAL EDUCATION, MINISTRY OF HEALTH AND FAMILY WELFARE",325.0,936.64,81.0,2022-01-10,2024-01-09,0.0,0.0
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,OFFSHORE,MINISTRY OF PETROLEUM & NATURAL GAS,2379.84,2923.49,98.7,2024-01-06,2026-01-02,0.0,-80.41000000000031
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NHAI,1011.29,687.94,93.84,2022-01-11,2024-01-10,-2.25,-0.0899999999999181
MINISTRY OF HEALTH & FAMILY WELFARE,HEALTHCARE,GUJARAT,"MEDICAL EDUCATION, MINISTRY OF HEALTH AND FAMILY WELFARE",325.0,457.34,87.5,2022-01-09,2026-01-03,-0.5,-10.0
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,MUMBAI RAIL VIKAS CORPORATION LTD.[MRVC],8087.0,7559.14,90.0,2008-01-04,2014-01-03,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (ANDHRA PRADESH, TAMIL NADU)",NHAI,1338.14,240.71,13.45,2025-01-09,2027-01-09,-2.130000000000001,-0.0600000000000022
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KERALA,NHAI,1424.77,1064.53,98.75,2021-01-02,2023-01-02,0.0,-2.1400000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,KARNATAKA,NHAI,1452.43,490.31,38.45,2025-01-06,2027-01-06,-1.759999999999998,0.0
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,MUMBAI RAIL VIKAS CORPORATION LTD.[MRVC],33690.0,3854.46,25.0,2019-01-04,2027-01-12,,
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,ASSAM,MINISTRY OF PETROLEUM & NATURAL GAS,198.7,103.59,62.5,2023-01-09,2026-01-05,-1.0,-7.399999999999991
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NHAI,1909.98,1386.87,94.59,2023-01-01,2026-01-01,-3.4099999999999966,-6.210000000000036
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,PAN INDIA,BSNL,645.13,407.15,92.1,2023-01-05,2024-01-08,0.0,-0.75
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,MORTH,163.51,0.0,83.19,2022-01-03,2026-01-02,0.0,-80.23
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NHAI,1226.64,1359.14,100.0,2019-01-02,2022-01-06,,
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NHAI,950.27,663.67,100.0,2018-01-02,2020-01-02,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NHAI,911.24,552.0,79.80000000000001,2024-01-03,2026-01-03,0.0,-0.6200000000000045
MINISTRY OF RAILWAYS,RAILWAYS,JHARKHAND,EAST CENTRAL RAILWAY [ECR] - I,349.22,145.57,72.0,2022-01-11,2027-01-11,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,GOA,SOUTH WESTERN RAILWAY [SWR] - II,1892.0,0.0,0.0,2026-01-04,2031-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NHAI,1663.38,553.34,19.5,2025-01-03,2027-01-03,-1.75,-37.18999999999994
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ODISHA,NHAI,882.45,196.63,33.02,2024-01-11,2026-01-10,-3.0,-0.039999999999992
MINISTRY OF RAILWAYS,RAILWAYS,CHHATTISGARH,SOUTH EAST CENTRAL RAILWAY [SECR] - II,1376.0,312.72,30.0,2022-01-04,2030-01-06,-8.0,-186.65
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,PUNJAB,NHAI,1032.59,787.04,76.0,2022-01-12,2024-01-12,0.0,-12.730000000000018
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,ASSAM,NRL,370.0,310.38,78.60000000000001,2021-01-08,2024-01-07,-1.8999999999999917,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HARYANA,NHAI,994.22,1064.47,99.97,2020-01-07,2022-01-07,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,PUNJAB,NHAI,1555.13,698.87,23.56,2025-01-09,2027-01-09,-1.990000000000002,-12.519999999999982
MINISTRY OF PETROLEUM & NATURAL GAS,OIL & GAS,ASSAM,NRL,293.5,81.84,99.0,2023-01-04,2024-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (MADHYA PRADESH, MAHARASHTRA)",NHAI,784.35,330.42,64.0,2024-01-03,2026-01-03,0.0,0.0
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,DELHI,DELHI METRO RAIL CORPORATION LIMITED [DMRC],12014.91,253.96,5.63,2026-01-01,2028-01-12,-0.0200000000000004,-11.02000000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TELANGANA,NHAI,2146.86,1268.13,92.4,2023-01-07,2025-01-07,0.0,-4.489999999999782
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NHAI,794.7,84.37,30.26,2025-01-10,2027-01-10,-2.119999999999994,-20.97
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NHAI,862.0,298.23,48.55,2025-01-04,2027-01-04,0.0,-0.2199999999999704
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,DELHI,NATIONAL COMMUNICATION ACADEMY - FINANCE [ERSTWHILE NICF],248.2,237.43,98.0,2018-01-04,2020-01-02,0.0,0.0
MINISTRY OF COAL,COAL,MADHYA PRADESH,NCL - CIL,25560.48,256.7,2.02,2025-01-02,2032-03-01,-0.08,-76.60000000000002
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NHAI,866.0,746.36,99.8,2021-01-08,2023-01-08,0.0,-0.2100000000000363
