MINISTRY,SECTOR,STATE,AGENCY,ORIGINAL_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PERCENT,START_DATE,ORIGINAL_TARGET_DOC,PROGRESS_CHANGE,EXPENDITURE_CHANGE
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,MADHYA PRADESH,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],2708.0,1543.56,68.12,2024-01-08,2026-01-08,10.320000000000007,54.159999999999854
MINISTRY OF RAILWAYS,RAILWAYS,KARNATAKA,SOUTH WESTERN RAILWAY [SWR] - II,825.0,781.94,84.5,2016-01-11,2025-01-06,0.2999999999999971,7.830000000000041
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],904.99,183.57,41.45,2025-01-03,2028-01-03,5.829999999999998,18.28
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,MADHYA PRADESH,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],3674.0,1469.6,43.16,2024-01-10,2026-01-10,3.9199999999999946,73.48000000000002
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,GUJARAT,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],4766.0,1334.48,31.480000000000004,2024-01-10,2026-01-10,3.890000000000004,95.31999999999994
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,2362.0,1976.38,75.19,2015-01-12,2027-01-12,0.5900000000000034,13.950000000000044
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,DELHI,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],284.0,65.32,18.91,2024-01-10,2026-01-02,11.16,42.6
MINISTRY OF RAILWAYS,RAILWAYS,DELHI,RAIL LAND DEVELOPMENT AUTHORITY,4744.0,332.08,5.0,2024-01-06,2028-01-12,2.0,74.55000000000001
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (KARNATAKA, TAMIL NADU)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1757.27,927.75,78.7,2022-01-10,2024-01-10,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,GUJARAT,RAIL LAND DEVELOPMENT AUTHORITY,2379.0,984.21,32.5,2023-01-11,2028-01-03,1.1000000000000014,6.860000000000014
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (MADHYA PRADESH, UTTAR PRADESH)",NORTH CENTRAL RAILWAY,4330.0,3000.09,70.0,2019-01-04,2026-01-03,2.0,104.57000000000016
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],581.65,246.07,69.04,2023-01-09,2025-01-09,0.0,2.789999999999992
"DEPARTMENT OF WATER RESOURCES, RIVER DEVELOPMENT & GR",WATER RESOURCES,UTTARAKHAND,IRRIGATION-UK,2584.1,1303.15,25.28,2023-01-11,2029-01-06,0.2000000000000028,35.75
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (MADHYA PRADESH, UTTAR PRADESH)",CAO/C/NCR,2002.0,1942.49,96.0,2018-01-03,2022-01-03,0.0,3.380000000000109
MINISTRY OF COAL,COAL,WEST BENGAL,EASTERN COAL FIELDS LIMITED [ECL],483.65,78.88,16.79,2020-01-04,2026-01-03,0.0,1.0899999999999892
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HARYANA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1275.31,734.13,97.86,2020-01-07,2022-01-07,0.0,0.0499999999999545
MINISTRY OF COAL,COAL,WEST BENGAL,EASTERN COAL FIELDS LIMITED [ECL],389.1,132.48,22.18,2023-01-01,2028-01-03,0.0500000000000007,0.0
MINISTRY OF RAILWAYS,RAILWAYS,UTTAR PRADESH,CAO/C/II/NR,722.0,1729.27,70.0,2017-01-03,2025-01-03,0.0,37.75
MINISTRY OF COAL,COAL,CHHATTISGARH,SOUTH EASTERN COALFIELDS LIMITED [SECL],335.97,90.88,42.47,2015-01-02,2026-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],538.11,113.19,38.51,2025-01-06,2027-01-06,-2.5700000000000003,-47.08000000000001
MINISTRY OF RAILWAYS,RAILWAYS,DELHI,CAO/C/NR,667.0,324.17,23.0,2013-01-03,2023-01-03,0.0,11.430000000000009
MINISTRY OF COAL,COAL,CHHATTISGARH,SOUTH EASTERN COALFIELDS LIMITED [SECL],316.11,191.5,78.86,2015-01-07,2026-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2527.0,1012.02,100.0,2019-01-01,2021-01-07,0.0,17.49000000000001
MINISTRY OF COAL,COAL,CHHATTISGARH,SOUTH EASTERN COALFIELDS LIMITED [SECL],459.49,277.16,96.15,2016-01-07,2025-01-03,0.0,0.3600000000000136
MINISTRY OF RAILWAYS,RAILWAYS,ASSAM,NORTHEAST FRONTIER RAILWAY [NFR],4060.0,3831.06,95.16,2016-01-09,2026-01-03,0.0300000000000011,33.71000000000004
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (RAJASTHAN, UTTAR PRADESH)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],159.53,72.44,100.0,2025-01-04,2026-01-03,0.0,0.1700000000000017
MINISTRY OF COAL,COAL,CHHATTISGARH,SOUTH EASTERN COALFIELDS LIMITED [SECL],410.26,188.3,54.6,2018-01-05,2026-01-03,0.0,0.6700000000000159
MINISTRY OF RAILWAYS,RAILWAYS,UTTAR PRADESH,NORTH EASTERN RAILWAY [NER],1016.0,1058.77,88.5,2019-01-07,2025-01-03,0.0999999999999943,8.660000000000082
MINISTRY OF COAL,COAL,MADHYA PRADESH,SOUTH EASTERN COALFIELDS LIMITED [SECL],371.04,149.84,58.2,2014-01-12,2026-01-03,0.0,0.9699999999999988
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,DELHI,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1467.44,1615.93,98.25,2022-01-01,2024-01-07,0.0,0.0900000000001455
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (ANDHRA PRADESH, KARNATAKA)",SOUTH CENTRAL RAILWAY [SCR] - II,302.0,636.74,89.03999999999999,2016-01-04,2025-01-12,0.0099999999999909,1.0199999999999818
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1282.97,599.36,100.0,2022-01-01,2024-01-01,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,RAIL LAND DEVELOPMENT AUTHORITY,1813.0,850.58,24.0,2023-01-07,2027-01-03,1.0,16.74000000000001
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (ANDHRA PRADESH, TELANGANA)",SOUTH CENTRAL RAILWAY [SCR] - II,1953.0,5192.51,95.02,2014-01-08,2025-01-02,0.0099999999999909,13.860000000000582
DEPARTMENT OF HIGHER EDUCATION,EDUCATION,PUDUCHERRY,"NATIONAL INSTITUTE OF TECHNOLOGY, PUDUCHERRY",618.34,543.74,99.0,2013-01-07,2024-01-12,0.5,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ANDHRA PRADESH,SOUTH CENTRAL RAILWAY [SCR] - II,3733.0,5552.65,94.05,2017-01-11,2025-01-12,0.039999999999992,29.049999999999272
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],254.78,104.21,76.0,2025-01-06,2026-01-06,-1.0,-10.840000000000003
MINISTRY OF HOUSING & URBAN AFFAIRS,URBAN PUBLIC TRANSPORT,KARNATAKA,BENGALURU METRO RAIL,15611.0,0.0,0.0,2026-01-06,2031-01-05,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (ANDHRA PRADESH, TELANGANA)",SOUTH CENTRAL RAILWAY [SCR] - II,647.0,1249.39,93.6,2016-01-04,2025-01-01,-1.4100000000000108,6.75
DEPARTMENT OF HIGHER EDUCATION,EDUCATION,SIKKIM,NIT SIKKIM,685.76,283.56,36.0,2024-01-03,2028-01-02,1.5,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MAHARASHTRA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],856.93,126.14,36.5,2024-01-10,2027-01-04,5.0,2.4399999999999977
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (ODISHA, WEST BENGAL)",SOUTH EASTERN RAILWAY [SER] - I,2400.0,2713.19,82.0,2017-01-03,2025-01-12,5.0,57.98000000000002
DEPARTMENT OF HIGHER EDUCATION,EDUCATION,MEGHALAYA,"NATIONAL INSTITUTE OF TECHNOLOGY, MEGHALAYA",494.52,370.98,96.0,2014-01-09,2022-01-03,1.0,2.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (ANDHRA PRADESH, TELANGANA)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],829.5,518.87,98.82,2022-01-09,2024-01-09,0.0,0.0199999999999818
DEPARTMENT OF HIGHER EDUCATION,EDUCATION,HIMACHAL PRADESH,"CENTRAL UNIVERSITY, HIMACHAL PRADESH",251.98,223.21,85.0,2022-01-08,2024-01-11,0.0,0.0
MINISTRY OF COAL,COAL,MADHYA PRADESH,SOUTH EASTERN COALFIELDS LIMITED [SECL],366.94,35.82,41.29,2024-01-01,2029-01-03,0.0,0.25
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (JHARKHAND, ODISHA)",SOUTH EASTERN RAILWAY - JH,3029.0,2649.22,94.0,2017-01-02,2025-01-06,2.0,20.049999999999727
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],569.37,355.88,100.0,2022-01-09,2024-01-09,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (CHHATTISGARH, MAHARASHTRA)",SOUTH EAST CENTRAL RAILWAY [SECR] - II,3545.0,3655.47,96.0,2016-01-12,2024-01-12,0.0,15.889999999999873
DEPARTMENT OF HIGHER EDUCATION,EDUCATION,GUJARAT,CENTRAL UNIVERSITY OF GUJARAT,490.63,337.74,85.0,2021-01-02,2025-01-03,-1.0,-1.6599999999999682
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (BIHAR, WEST BENGAL)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],962.84,99.24,12.42,2025-01-12,2027-01-12,-5.889999999999999,-80.07000000000001
MINISTRY OF RAILWAYS,RAILWAYS,TAMIL NADU,MINISTRY OF RAILWAYS,842.0,340.0,0.0,2022-01-10,2026-01-03,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (CHHATTISGARH, ODISHA)",SECR,2140.0,2282.17,97.0,2016-01-09,2024-01-10,0.0,21.69000000000005
DEPARTMENT OF HIGHER EDUCATION,EDUCATION,ANDHRA PRADESH,CENTRAL TRIBAL UNIVERSITY OF ANDHRA PRADESH,305.0,67.73,44.5,2023-01-12,2027-01-06,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],711.94,423.04,99.66,2022-01-09,2024-01-09,0.0,0.0699999999999931
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (MAHARASHTRA, TELANGANA)",SOUTH CENTRAL RAILWAY [SCR] - II,2595.0,4154.83,94.8,2016-01-10,2025-01-01,0.0999999999999943,13.569999999999707
DEPARTMENT OF HIGHER EDUCATION,EDUCATION,NAGALAND,NIT NAGALAND,275.63,263.25,98.0,2014-01-12,2025-01-12,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1358.77,713.95,100.0,2022-01-01,2024-01-01,0.0,0.0
DEPARTMENT OF HIGHER EDUCATION,EDUCATION,ARUNACHAL PRADESH,"NATIONAL INSTITUTE OF TECHNOLOGY, ARUNACHAL PRADESH",592.61,551.3,80.0,2013-01-03,2026-01-08,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (BIHAR, UTTAR PRADESH)",NORTH EASTERN RAILWAY [NER],963.0,918.18,96.0,2015-01-12,2025-01-02,0.0999999999999943,1.0799999999999272
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (DELHI, HARYANA)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2228.26,999.69,100.0,2018-01-11,2020-01-11,0.0,8.260000000000105
MINISTRY OF COAL,COAL,MADHYA PRADESH,WESTERN COALFIELDS LIMITED [WCL],314.09,17.89,17.78,2021-01-12,2027-01-03,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,1284.0,1379.6,95.8,2015-01-04,2024-01-11,0.7999999999999972,26.789999999999964
MINISTRY OF COAL,COAL,MADHYA PRADESH,WESTERN COALFIELDS LIMITED [WCL],166.25,5.23,9.39,2023-01-09,2028-01-03,0.0,0.04
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],210.05,116.57,64.05,2022-01-07,2024-01-01,0.0,0.2799999999999869
MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],198.71,23.25,2.82,2023-01-09,2027-01-03,0.0,-0.2899999999999991
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (MADHYA PRADESH, MAHARASHTRA)",CENTRAL RAILWAY [CR] - II,2449.91,2164.79,50.0,2016-01-09,2027-01-03,-5.000000000000007,9.029999999999744
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,"MULTI-STATES (HARYANA, PUNJAB)",NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],646.42,549.2,98.0,2022-01-12,2024-01-07,0.0,0.0
MINISTRY OF STEEL,METALS & MINING,CHHATTISGARH,NATIONAL MINERAL DEVELOPMENT CORPORATION LIMITED [NMDC],1700.0,263.01,18.3,2022-01-07,2028-01-12,-2.0,4.599999999999966
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,CENTRAL RAILWAY [CR] - II,1035.16,1842.26,100.0,2018-01-04,2024-01-12,0.0,-23.180000000000064
MINISTRY OF COAL,COAL,MADHYA PRADESH,WESTERN COALFIELDS LIMITED [WCL],414.15,22.11,56.88,2019-01-08,2026-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NHAI,2541.13,297.45,38.23,2025-01-03,2027-01-09,3.0899999999999963,31.870000000000005
MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],360.81,21.24,5.17,2022-01-12,2029-01-03,0.0,17.4
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ANDHRA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1063.57,502.82,90.4,2023-01-09,2025-01-09,0.0,0.2199999999999704
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,CENTRAL RAILWAY [CR] - II,637.95,1049.42,88.0,2018-01-05,2025-01-12,0.0,2.400000000000091
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],991.89,854.1,96.22,2023-01-02,2025-01-02,1.0,38.190000000000055
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,CENTRAL RAILWAY,2081.27,3105.38,92.0,2017-01-03,2025-01-12,0.0,28.09999999999991
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,RAJASTHAN,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],3279.0,1541.13,49.73,2024-01-08,2026-01-08,2.5999999999999943,32.79000000000019
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NHAI,2289.34,233.67,30.14,2025-01-07,2028-01-01,4.010000000000002,35.31999999999999
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,"MULTI-STATES (MADHYA PRADESH, RAJASTHAN)",POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],2227.0,979.88,44.74,2024-01-08,2026-01-08,6.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,CENTRAL RAILWAY [CR] - II,1384.72,1829.64,86.0,2016-01-12,2025-01-12,-12.0,16.12000000000012
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,"MULTI-STATES (MADHYA PRADESH, RAJASTHAN)",POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],3251.0,1592.99,42.27,2024-01-08,2026-01-08,2.8700000000000045,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1973.98,1005.8,71.98,2024-01-01,2026-01-01,3.030000000000001,50.65999999999997
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,CENTRAL RAILWAY [CR] - II,540.02,842.32,88.0,2016-01-05,2025-01-12,0.0,6.930000000000064
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,RAJASTHAN,POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],1382.0,566.62,44.61,2024-01-08,2026-01-08,2.6099999999999994,13.82000000000005
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,MADHYA PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],950.27,399.27,100.0,2018-01-02,2020-01-02,0.0,2.099999999999966
MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],497.41,44.26,2.19,2023-01-10,2030-01-03,0.0,-42.46
MINISTRY OF RAILWAYS,RAILWAYS,MAHARASHTRA,CENTRAL RAILWAY,792.89,1082.64,73.0,2015-01-09,2026-01-12,0.0,5.270000000000209
MINISTRY OF COAL,COAL,MADHYA PRADESH,WESTERN COALFIELDS LIMITED [WCL],206.88,27.32,2.02,2023-01-01,2031-01-03,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (CHHATTISGARH, ODISHA)",EAST COAST RAILWAY [ECOR] - II,1547.0,1387.24,94.94,2016-01-03,2024-01-03,0.480000000000004,7.549999999999954
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,TAMIL NADU,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1103.86,787.61,94.85,2020-01-03,2022-01-03,2.6999999999999886,13.25
MINISTRY OF RAILWAYS,RAILWAYS,BIHAR,EAST CENTRAL RAILWAY [ECR] - I,1586.0,1499.23,99.0,2017-01-03,2024-01-06,0.0,4.2999999999999545
MINISTRY OF COAL,COAL,JHARKHAND,BHARAT COKING COAL LIMITED (BCCL,339.87,191.14,70.47,2011-01-02,2014-01-04,0.0,0.1399999999999863
MINISTRY OF COAL,COAL,"MULTI-STATES (MADHYA PRADESH, UTTAR PRADESH)",NORTHERN COALFIELDS LIMITED [NCL],491.67,276.37,57.06,2021-01-06,2025-01-03,1.490000000000002,-0.3799999999999954
MINISTRY OF RAILWAYS,RAILWAYS,BIHAR,EAST CENTRAL RAILWAY [ECR] - I,1216.0,2102.51,93.0,2017-01-03,2025-01-12,0.2000000000000028,4.9900000000002365
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,ASSAM,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],280.75,211.79,99.04,2022-01-12,2024-01-06,0.0,0.0
MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],228.64,150.47,69.33,2022-01-01,2028-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1818.46,457.06,56.54,2024-01-12,2027-01-06,1.3399999999999963,31.0
MINISTRY OF RAILWAYS,RAILWAYS,BIHAR,EAST CENTRAL RAILWAY [ECR] - I,519.0,409.48,100.0,2015-01-12,2025-01-03,3.0,7.640000000000043
MINISTRY OF COAL,COAL,MADHYA PRADESH,WESTERN COALFIELDS LIMITED [WCL],399.2,100.6,67.13,2022-01-09,2027-01-03,0.0,0.5699999999999932
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],2010.2,707.68,37.27,2024-01-03,2026-01-03,0.0300000000000011,0.0099999999999909
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],325.57,225.44,99.78,2022-01-03,2024-01-08,0.0,0.0
MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],319.04,111.68,32.21,2020-01-08,2026-01-03,0.0,0.5100000000000051
MINISTRY OF COAL,COAL,MADHYA PRADESH,WESTERN COALFIELDS LIMITED [WCL],220.62,0.0,11.2,2022-01-11,2029-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,WEST BENGAL,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],309.99,1.94,2.11,2025-01-11,2027-01-11,-0.4700000000000002,-0.2299999999999999
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,1000.0,469.78,59.0,2015-01-12,2018-01-11,0.0,13.97999999999996
MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],402.27,67.7,24.17,2022-01-09,2027-01-03,0.0,0.5900000000000034
MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],361.87,96.8,12.2,2022-01-06,2026-01-03,0.0,0.1599999999999966
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,RAJASTHAN,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1764.86,310.1,39.33,2024-01-09,2026-01-09,2.509999999999998,-0.0199999999999818
MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],335.75,50.3,9.57,2022-01-05,2029-01-03,0.0,0.5499999999999972
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],227.25,224.56,80.95,2023-01-12,2025-01-12,0.4900000000000091,0.4600000000000079
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (ANDHRA PRADESH, ODISHA)",EAST COAST RAILWAY [ECOR] - II,2500.0,2217.87,73.0,2016-01-01,2022-01-03,0.0,53.90000000000009
MINISTRY OF COAL,COAL,CHHATTISGARH,SOUTH EASTERN COALFIELDS LIMITED [SECL],329.21,62.03,2.01,2023-01-01,2029-01-03,0.0,0.0
MINISTRY OF COAL,COAL,MAHARASHTRA,WESTERN COALFIELDS LIMITED [WCL],309.58,58.08,8.44,2021-01-04,2026-01-03,0.0,0.6199999999999974
MINISTRY OF RAILWAYS,RAILWAYS,ODISHA,EAST COAST RAILWAY [ECOR] - II,1173.0,2138.09,90.0,2015-01-12,2026-01-03,1.0,17.51000000000022
MINISTRY OF COAL,COAL,ODISHA,SINGARENI COLLIERIES COMPANY LIMITED [SCCL],494.3,491.33,80.0,2020-01-03,2026-01-03,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,"MULTI-STATES (MADHYA PRADESH, RAJASTHAN)",NORTH CENTRAL RAILWAY,2913.0,2245.43,92.0,2018-01-07,2025-01-03,0.0,31.87999999999965
MINISTRY OF COAL,COAL,TELANGANA,SINGARENI COLLIERIES COMPANY LIMITED [SCCL],384.32,295.21,76.0,2017-01-05,2026-01-03,1.0,4.199999999999989
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,MADHYA PRADESH,MINISTRY OF HOUSING & URBAN AFFAIRS,402.01,371.17,90.0,2017-01-11,2023-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,BIHAR,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1538.76,146.2,21.54,2026-01-01,2027-01-12,-5.060000000000002,-418.17
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,"MULTI-STATES (ANDHRA PRADESH, KARNATAKA)",POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],5550.0,943.5,19.92,2025-01-03,2027-01-03,2.0600000000000023,0.0
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,MADHYA PRADESH,MINISTRY OF HOUSING & URBAN AFFAIRS,191.56,200.32,96.0,2016-01-12,2024-01-03,0.0,0.0
MINISTRY OF POWER,TRANSMISSION & DISTRIBUTION,"MULTI-STATES (MADHYA PRADESH, RAJASTHAN)",POWER GRID CORPORATION OF INDIA LIMITED [POWERGRID],5028.0,1106.16,28.050000000000004,2025-01-03,2027-01-03,3.980000000000004,51.96000000000004
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,UTTAR PRADESH,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1991.71,1016.28,95.37,2019-01-02,2022-01-02,0.5799999999999983,8.259999999999991
MINISTRY OF POWER,ELECTRICITY GENERATION,CHHATTISGARH,NATIONAL THERMAL POWER CORPORATION [NTPC],9791.0,1686.93,19.86,2024-01-09,2029-01-09,0.9499999999999992,67.29999999999995
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,MADHYA PRADESH,MINISTRY OF HOUSING & URBAN AFFAIRS,287.17,252.5,99.0,2017-01-11,2023-01-03,0.0,0.0
MINISTRY OF RAILWAYS,RAILWAYS,CHHATTISGARH,CAO/C/SECR,7853.84,0.64,0.0,2025-01-04,2031-01-03,0.0,0.0
MINISTRY OF ROAD TRANSPORT & HIGHWAYS,ROADS & HIGHWAYS,HARYANA,NATIONAL HIGHWAYS AUTHORITY OF INDIA [NHAI],1330.23,454.93,99.5,2023-01-12,2025-01-12,0.0,14.550000000000011
MINISTRY OF HOUSING & URBAN AFFAIRS,WASTE & WATER,KARNATAKA,MINISTRY OF HOUSING & URBAN AFFAIRS,162.73,79.5,80.0,2016-01-10,2023-01-07,0.0,0.0
