MINISTRY,SECTOR,SLNO,PROJECT_NAME,AGENCY,PROJECT_CODES,STATE,DATE_OF_APPROVAL,START_DATE,ORIGINAL_TARGET_DOC,REVISED_DOC,ORIGINAL_COST_RS_CRORE,REVISED_COST_RS_CRORE,CUMULATIVE_EXPENDITURE_RS_CRORE,PHYSICAL_PROGRESS_PCT,SOURCE_PAGE,REPORT_MONTH,SOURCE_FILE,PHYSICAL_PROGRESS_PERCENT,PROJECT_ID
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,1943.0,SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF,DEPARTMENT OF TELECOMMUNICATIONS [DOT],400013 | - | 4599,PAN INDIA,1-07-22,1-07-22,1-06-24,1-03-27,26316.0,15392.8,9791.8,0.85,160.0,MAY,Project_Monitoring_May_2026.xlsx,85.0,400013
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,1801.0,SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF,DEPARTMENT OF TELECOMMUNICATIONS [DOT],400013 | - | -,PAN INDIA,1-07-22,1-07-22,1-06-24,1-03-27,26316.0,15392.8,8553.1,0.85,157.0,JUNE,Project_Monitoring_June_2026.xlsx,85.0,400013
DEPARTMENT OF TELECOMMUNICATIONS,TELECOMMUNICATION,1721.0,SATURATION 4G MOBILE COVERAGE OF UNCOVERED VILLAGES THROUGH USOF,DEPARTMENT OF TELECOMMUNICATIONS [DOT],400013 | - | -,PAN INDIA,1-07-22,1-07-22,1-06-24,1-03-27,26316.0,15392.84,8722.82,0.877,150.0,JULY,Project_Monitoring_July_2026.xlsx,87.7,400013
MINISTRY OF COAL,COAL,43.0,HURA C OCP,ECL - CIL,400018 | N06000275 | 4585,JHARKHAND,1-08-22,1-08-22,1-03-29,,859.41,859.41,455.25,0.6322,57.0,APRIL,Project_Monitoring_April_2026.xlsx,63.22,400018
MINISTRY OF COAL,COAL,43.0,HURA C OCP,ECL - CIL,400018 | N06000275 | 4585,JHARKHAND,1-08-22,1-08-22,1-03-29,,859.41,859.41,455.25,0.6322,56.0,MAY,Project_Monitoring_May_2026.xlsx,63.22,400018
MINISTRY OF COAL,COAL,42.0,HURA C OCP,ECL - CIL,400018 | - | -,JHARKHAND,1-08-22,1-08-22,1-03-29,,859.41,859.41,455.95,0.633,61.0,JUNE,Project_Monitoring_June_2026.xlsx,63.3,400018
MINISTRY OF COAL,COAL,42.0,HURA C OCP,EASTERN COAL FIELDS LIMITED [ECL],400018 | - | -,JHARKHAND,1-08-22,1-08-22,1-03-29,,859.41,859.41,455.95,0.633,57.0,JULY,Project_Monitoring_July_2026.xlsx,63.3,400018
MINISTRY OF RAILWAYS,RAILWAYS,622.0,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],CENTRAL RAILWAY,400019 | N22000514 | 4514,MAHARASHTRA,1-01-19,1-04-23,1-12-26,1-09-27,492.76,1170.83,519.29,0.25,85.0,APRIL,Project_Monitoring_April_2026.xlsx,25.0,400019
MINISTRY OF RAILWAYS,RAILWAYS,624.0,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],CENTRAL RAILWAY,400019 | N22000514 | 4514,MAHARASHTRA,1-01-19,1-04-23,1-12-26,1-09-27,492.76,1170.83,542.26,0.25,84.0,MAY,Project_Monitoring_May_2026.xlsx,25.0,400019
MINISTRY OF RAILWAYS,RAILWAYS,611.0,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],CENTRAL RAILWAY,400019 | - | -,MAHARASHTRA,1-01-19,1-04-23,1-12-26,1-09-27,492.76,1170.83,560.32,0.38,88.0,JUNE,Project_Monitoring_June_2026.xlsx,38.0,400019
